,Connection Size##pipe_size##inches,Material Number##other##,Operator Selector##length##inches,Connection Type##other##,Unit Weight Value##number##general,Valve Material##other##,Minimum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Working Pressure##piping_pressure##pounds_force_per_square_inch,Cv Coefficient##other##,K Coefficient##other##,Body Length##Length##inches,Centerline to Handle Height##Length##inches,Center to End 1##Length##inches,Center to Handle End##Length##inches,Overall Length##Length##inches,Overall Height##Length##inches,Body Diameter##Length##inches,Handle Height##Length##inches,Nut Size Selector Length##length##inches,Operator Selector Length##length##inches,Operator Material##other##,Model##other##,Flow Configuration##other##,Standards##other##,Description##other##,Product Page URL##other##,URL##other##,Series##other##
3/4in_NL95W08,3/4,NL95W08,1,Female NPT Thread (FIPT),1.332,FamilyMEP - Neutral Gray,0,0,600,30.4,0.304835455,2.940,2.25,1.47,4.660,6.13,3.08,1.66,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95W0A,1,NL95W0A,1,Female NPT Thread (FIPT),1.793,FamilyMEP - Neutral Gray,0,0,600,48.8,0.37387631,3.340,2.38,1.67,4.660,6.33,3.4,2.04,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL953LB,1 1/4,NL953LB,1,Female NPT Thread (FIPT),3.185,FamilyMEP - Neutral Gray,0,0,600,103,0.204895865,4.190,3,2.095,6.690,8.785,4.23,2.46,0.914,3,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL953LC,1 1/2,NL953LC,1,Female NPT Thread (FIPT),4.841,FamilyMEP - Neutral Gray,0,0,600,143,0.22042485,4.720,3.16,2.36,6.690,9.05,4.645,2.97,0.914,3,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
2in_NL953LD,2,NL953LD,1,Female NPT Thread (FIPT),6.75,FamilyMEP - Neutral Gray,0,0,600,245,0.237331512,5.160,3.5,2.58,6.690,9.27,5.345,3.69,0.914,3,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/4in_NL95W34,1/4,NL95W34,1,Female NPT Thread (FIPT),0.49,FamilyMEP - Neutral Gray,0,0,600,4.2,0.197164647,2.000,1.75,1,3.900,4.9,2.305,1.11,0.740,1,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/8in_NL95W35,3/8,NL95W35,1,Female NPT Thread (FIPT),0.484,FamilyMEP - Neutral Gray,0,0,600,6.2,0.458046199,2.000,1.75,1,3.900,4.9,2.305,1.11,0.740,1,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL95W36,1/2,NL95W36,1,Female NPT Thread (FIPT),0.677,FamilyMEP - Neutral Gray,0,0,600,15.3,0.237719467,2.440,1.88,1.22,3.900,5.12,2.515,1.27,0.740,1,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95W38,3/4,NL95W38,1,Female NPT Thread (FIPT),1.386,FamilyMEP - Neutral Gray,0,0,600,30.4,0.304835455,2.940,2.25,1.47,4.660,6.13,3.08,1.66,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95W3A,1,NL95W3A,1,Female NPT Thread (FIPT),1.847,FamilyMEP - Neutral Gray,0,0,600,48.8,0.37387631,3.340,2.38,1.67,4.660,6.33,3.4,2.04,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/8in_NL95055,3/8,NL95055,6,Female NPT Thread (FIPT),0.459,FamilyMEP - Neutral Gray,0,0,600,0,0,2.0,1.88,1.0,4.50,0,2.435,1.11,0.845,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
